project,amt_2024_actual,amt_2025_revised,amt_2025_perf,amt_2026_approved,amt_2027_estimate,amt_2028_estimate,amt_2026_tag_nutrition,source_page,page_y_top,page_y_bottom,mda_code,mda_name,economic_code,economic_name,function_code,function_name,location_code,location_name,program_code,program_name
Construction & Equipment of Animal House for Biochemistry,0.0,15000000.0,0.0,47110500.0,47110500.0,47110500.0,0.0,225,0.89788,0.91585,056900400100,Sokoto State University,23020113,CONSTRUCTION / PROVISION OF AGRICULTURAL FACILITIES,70942,SECOND STAGE OF TERTIARY EDUCATION,33330200,BODINGA,05010326001700,Education sector coordination mechanisms
Purchase Equipment and Furniture for Micro – Teaching Laboratory,0.0,20000000.0,0.0,15703500.0,15703500.0,15703500.0,0.0,226,0.09069,0.10866,056900400100,Sokoto State University,23010112,PURCHASE OF OFFICE FURNITURE AND FITTINGS,70942,SECOND STAGE OF TERTIARY EDUCATION,33330200,BODINGA,05010326001800,Education sector coordination mechanisms
Purchase of Equipment and Furniture for equipping Maintenance Development Centre,0.0,55000000.0,0.0,20938000.0,20938000.0,20938000.0,0.0,226,0.09886,0.11683,056900400100,Sokoto State University,23010112,PURCHASE OF OFFICE FURNITURE AND FITTINGS,70942,SECOND STAGE OF TERTIARY EDUCATION,33330200,BODINGA,05010326001900,Education sector coordination mechanisms
Purchase of 500ltr water tanker,0.0,0.0,0.0,57579500.0,57579500.0,57579500.0,0.0,226,0.10703,0.125,056900400100,Sokoto State University,23010107,PURCHASE OF TRUCKS,70942,SECOND STAGE OF TERTIARY EDUCATION,33330200,BODINGA,05050426000200,"Water, sanitation and hygiene"
Construction of School Infrastructures and Facilities,0.0,0.0,0.0,340242500.0,340242500.0,340242500.0,0.0,226,0.1152,0.13317,056900400100,Sokoto State University,23020107,CONSTRUCTION / PROVISION OF PUBLIC SCHOOLS,70942,SECOND STAGE OF TERTIARY EDUCATION,33330200,BODINGA,05010326002000,Education sector coordination mechanisms
Construction of Perimeter wall fence Phase 1,0.0,240000000.0,72000000.0,251256000.0,251256000.0,251256000.0,0.0,226,0.12337,0.14134,056900400100,Sokoto State University,23020107,CONSTRUCTION / PROVISION OF PUBLIC SCHOOLS,70942,SECOND STAGE OF TERTIARY EDUCATION,33330200,BODINGA,05010326002100,Education sector coordination mechanisms
Completion of Amphitheatre,0.0,35000000.0,0.0,36641500.0,36641500.0,36641500.0,0.0,226,0.13154,0.14951,056900400100,Sokoto State University,23020107,CONSTRUCTION / PROVISION OF PUBLIC SCHOOLS,70942,SECOND STAGE OF TERTIARY EDUCATION,33330200,BODINGA,05010326002200,Education sector coordination mechanisms
Construction of Student Hostels,0.0,220000000.0,0.0,230318000.0,230318000.0,230318000.0,0.0,226,0.13971,0.15768,056900400100,Sokoto State University,23020104,CONSTRUCTION / PROVISION OF HOUSING,70942,SECOND STAGE OF TERTIARY EDUCATION,33330200,BODINGA,05010326002300,Education sector coordination mechanisms
Completion of staff quarters (53nos) Phase 1,0.0,240000000.0,0.0,382976958.0,382976958.0,382976958.0,0.0,226,0.14788,0.16585,056900400100,Sokoto State University,23020104,CONSTRUCTION / PROVISION OF HOUSING,70942,SECOND STAGE OF TERTIARY EDUCATION,33330200,BODINGA,05010326002400,Education sector coordination mechanisms
Conduct of accreditation exercises for SSU,0.0,120060000.0,0.0,125690814.0,125690814.0,125690814.0,0.0,226,0.15605,0.17402,056900400100,Sokoto State University,23050103,MONITORING AND EVALUATION,70942,SECOND STAGE OF TERTIARY EDUCATION,33330200,BODINGA,05010326002500,Education sector coordination mechanisms
Construction of 1 no of 2 storey building of Admin Block - student affairs and Distance Learning centre,0.0,150000000.0,0.0,551000000.0,401000000.0,401000000.0,0.0,226,0.19771,0.21569,056900500100,State college of basic and remedial studies,23020101,CONSTRUCTION / PROVISION OF OFFICE BUILDINGS,70941,FIRST STAGE OF TERTIARY EDUCATION,33312100,WAMAKKO,05050126007900,Schools’ infrastructure construction and rehabilitation
Construction of staff quarters - 10 units of 2 bedroom apartment,0.0,70000000.0,68014360.52,513600000.0,520600000.0,520600000.0,0.0,226,0.20588,0.22386,056900500100,State college of basic and remedial studies,23020104,CONSTRUCTION / PROVISION OF HOUSING,70941,FIRST STAGE OF TERTIARY EDUCATION,33312100,WAMAKKO,05050126008000,Schools’ infrastructure construction and rehabilitation
"Total Renovation of SCBRS - classrooms, offices and metron and Guest Houses and creation of additional Structures to meet Tertiary Institution Standard",0.0,350000000.0,258433654.54,1100000000.0,505700000.0,0.0,0.0,226,0.21405,0.23203,056900500100,State college of basic and remedial studies,23030106,REHABILITATION / REPAIRS - PUBLIC SCHOOLS,70941,FIRST STAGE OF TERTIARY EDUCATION,33312100,WAMAKKO,05050126008100,Schools’ infrastructure construction and rehabilitation
Construction of 500 sitting capacity modern audotorium,0.0,80000000.0,0.0,150000000.0,300000000.0,300000000.0,0.0,226,0.22222,0.2402,056900500100,State college of basic and remedial studies,23020107,CONSTRUCTION / PROVISION OF PUBLIC SCHOOLS,70941,FIRST STAGE OF TERTIARY EDUCATION,33312100,WAMAKKO,05050126008200,Schools’ infrastructure construction and rehabilitation
"Construction of 1block of 3nos Standard mini banking hall, workshop and studio for NBTE acredited programs",0.0,0.0,0.0,225400000.0,0.0,0.0,0.0,226,0.23039,0.24837,056900500100,State college of basic and remedial studies,23020101,CONSTRUCTION / PROVISION OF OFFICE BUILDINGS,70941,FIRST STAGE OF TERTIARY EDUCATION,33312100,WAMAKKO,05050126008300,Schools’ infrastructure construction and rehabilitation
Procurement of Furnitures and Equipments for furnishing of 500 sitting capacity modern Auditorium,0.0,15000000.0,0.0,129860000.0,7860000.0,7860000.0,0.0,226,0.23856,0.25654,056900500100,State college of basic and remedial studies,23010142,PURCHASE OF WATER EQUIPMENT,70941,FIRST STAGE OF TERTIARY EDUCATION,33312100,WAMAKKO,05050426000300,"Water, sanitation and hygiene"
"Purchase of 300nos. Of Bed,Matress,Blanket and Pillow Case for Male and Female Hostels",0.0,30000000.0,0.0,30000000.0,20000000.0,20000000.0,0.0,226,0.24673,0.26471,056900500100,State college of basic and remedial studies,23010125,PURCHASE OF LIBRARY BOOKS & EQUIPMENT,70941,FIRST STAGE OF TERTIARY EDUCATION,33312100,WAMAKKO,05010225000700,Human and institutional capacity performance management
Purchase of Additional e-library resources,0.0,34000000.0,0.0,20515000.0,30515000.0,30515000.0,0.0,226,0.2549,0.27288,056900500100,State college of basic and remedial studies,23050102,COMPUTER SOFTWARE ACQUISITION,70941,FIRST STAGE OF TERTIARY EDUCATION,33312100,WAMAKKO,05010225000800,Human and institutional capacity performance management
Purchase of 300 no. dell laptop computers and 30 no. Hp printers and accessories for CBT center,0.0,45000000.0,0.0,200210000.0,180210000.0,180210000.0,0.0,226,0.26307,0.28105,056900500100,State college of basic and remedial studies,23050102,COMPUTER SOFTWARE ACQUISITION,70941,FIRST STAGE OF TERTIARY EDUCATION,33312100,WAMAKKO,05050426000400,"Water, sanitation and hygiene"
Renovation of Male and Female Hostels,0.0,45000000.0,0.0,230000000.0,63000000.0,63000000.0,0.0,226,0.27124,0.28922,056900500100,State college of basic and remedial studies,23010124,PURCHASE OF TEACHING / LEARNING AID EQUIPMENT,70941,FIRST STAGE OF TERTIARY EDUCATION,33312100,WAMAKKO,05010225001000,Human and institutional capacity performance management
"Provision of solar lightining for admin block, class room and Hostels.",0.0,50000000.0,0.0,35000000.0,55000000.0,55000000.0,0.0,226,0.28023,0.2982,056900500100,State college of basic and remedial studies,23010105,PURCHASE OF MOTOR VEHICLES,70941,FIRST STAGE OF TERTIARY EDUCATION,33312100,WAMAKKO,05010225001100,Human and institutional capacity performance management
Procurement of 3nos.official vehicles for principal officers (1no. Toyota camry 2017 saloon (2no. Toyota camry 2017 saloon),0.0,70000000.0,0.0,0.0,0.0,0.0,0.0,226,0.2884,0.30637,056900500100,State college of basic and remedial studies,23020107,CONSTRUCTION / PROVISION OF PUBLIC SCHOOLS,70941,FIRST STAGE OF TERTIARY EDUCATION,33312100,WAMAKKO,05010225001200,Human and institutional capacity performance management
Consruction of additional classrooms,0.0,20000000.0,0.0,210000000.0,210000000.0,210000000.0,0.0,226,0.29657,0.31454,056900500100,State college of basic and remedial studies,23020107,CONSTRUCTION / PROVISION OF PUBLIC SCHOOLS,70941,FIRST STAGE OF TERTIARY EDUCATION,33312100,WAMAKKO,05050126008400,Schools’ infrastructure construction and rehabilitation
Construction of walk way and land scaping withing the Academic core,0.0,20000000.0,0.0,33700000.0,20000000.0,20000000.0,0.0,226,0.30474,0.32271,056900500100,State college of basic and remedial studies,23020107,CONSTRUCTION / PROVISION OF PUBLIC SCHOOLS,70941,FIRST STAGE OF TERTIARY EDUCATION,33312100,WAMAKKO,05050126008500,Schools’ infrastructure construction and rehabilitation
Construction of convetional wether station for IJMB programme,0.0,12000000.0,0.0,20000000.0,20000000.0,20000000.0,0.0,226,0.31291,0.33088,056900500100,State college of basic and remedial studies,23010124,PURCHASE OF TEACHING / LEARNING AID EQUIPMENT,70941,FIRST STAGE OF TERTIARY EDUCATION,33312100,WAMAKKO,05050126008600,Schools’ infrastructure construction and rehabilitation
Purchase of survey equipment for IJMB programme,0.0,200000000.0,0.0,0.0,12000000.0,12000000.0,0.0,226,0.32108,0.33905,056900500100,State college of basic and remedial studies,23010133,PURCHASES OF SURVEYING EQUIPMENT,70941,FIRST STAGE OF TERTIARY EDUCATION,33312100,WAMAKKO,05010225001600,Human and institutional capacity performance management
Construction of mordern ICT centre of 300 sitting capacity to meet JMB standard,0.0,15000000.0,0.0,220000000.0,350000000.0,350000000.0,0.0,226,0.32925,0.34722,056900500100,State college of basic and remedial studies,23020107,CONSTRUCTION / PROVISION OF PUBLIC SCHOOLS,70941,FIRST STAGE OF TERTIARY EDUCATION,33312100,WAMAKKO,05050126008700,Schools’ infrastructure construction and rehabilitation
Upgrading of College library to meet IJMB and NBTE standard,0.0,25000000.0,0.0,50000000.0,148700000.0,148700000.0,0.0,226,0.33742,0.35539,056900500100,State college of basic and remedial studies,23020107,CONSTRUCTION / PROVISION OF PUBLIC SCHOOLS,70941,FIRST STAGE OF TERTIARY EDUCATION,33312100,WAMAKKO,05050126008800,Schools’ infrastructure construction and rehabilitation
"Construction of football playground, Handball and Badminton court",0.0,150000000.0,0.0,25000000.0,25000000.0,25000000.0,0.0,226,0.34559,0.36356,056900500100,State college of basic and remedial studies,23020119,CONSTRUCTION / PROVISION OF RECREATIONAL FACILITIES,70941,FIRST STAGE OF TERTIARY EDUCATION,33312100,WAMAKKO,05050126008900,Schools’ infrastructure construction and rehabilitation
Conduct of NBTE accreditation and affiliation for IJMB Examination,0.0,20000000.0,0.0,120000000.0,120000000.0,120000000.0,0.0,226,0.35376,0.37173,056900500100,State college of basic and remedial studies,23050103,MONITORING AND EVALUATION,70941,FIRST STAGE OF TERTIARY EDUCATION,33312100,WAMAKKO,05010225002000,Human and institutional capacity performance management
"Printing of certificate, annual convocation and marticulation",0.0,100000000.0,0.0,0.0,40000000.0,40000000.0,0.0,226,0.36193,0.3799,056900500100,State college of basic and remedial studies,23050101,RESEARCH AND DEVELOPMENT,70941,FIRST STAGE OF TERTIARY EDUCATION,33312100,WAMAKKO,05010225002100,Human and institutional capacity performance management
"Procurement of equiments and chemical reagents for laboratories, studios, workshop and entreprenuership",0.0,100000000.0,0.0,165200000.0,285200000.0,285200000.0,0.0,226,0.3701,0.38807,056900500100,State college of basic and remedial studies,23030105,REHABILITATION / REPAIRS - HOSPITAL / HEALTH CENTRES,70941,FIRST STAGE OF TERTIARY EDUCATION,33312100,WAMAKKO,05050326000800,Libraries and laboratories
Upgrading of college clinic to PHC Standard to meet NBTE accreditation,0.0,50000000.0,0.0,100000000.0,80000000.0,80000000.0,0.0,226,0.37908,0.39706,056900500100,State college of basic and remedial studies,23020106,CONSTRUCTION / PROVISION OF HOSPITALS / HEALTH CENTRES,70941,FIRST STAGE OF TERTIARY EDUCATION,33342400,State Wide,04050125002303,Functional health facilities
Licencing and registration with professional bodies,0.0,0.0,0.0,0.0,50000000.0,50000000.0,0.0,226,0.38725,0.40523,056900500100,State college of basic and remedial studies,23050101,RESEARCH AND DEVELOPMENT,70941,FIRST STAGE OF TERTIARY EDUCATION,33342400,State Wide,05010225002400,Human and institutional capacity performance management
Construction of Wall Fence between SCBRS Access Road and RTV,0.0,0.0,0.0,53700000.0,0.0,0.0,0.0,226,0.39542,0.4134,056900500100,State college of basic and remedial studies,23020114,CONSTRUCTION / PROVISION OF ROADS,70941,FIRST STAGE OF TERTIARY EDUCATION,33342400,State Wide,05050126009000,Schools’ infrastructure construction and rehabilitation
Renovation of 25nos of staff quarters,0.0,197000000.0,150000000.0,150000000.0,300000000.0,300000000.0,0.0,226,0.43627,0.45425,056901800100,Umaru Ali Shinkafi Polytechnic Sokoto,23030101,REHABILITATION / REPAIRS OF RESIDENTIAL BUILDING,70941,FIRST STAGE OF TERTIARY EDUCATION,33312100,WAMAKKO,05050124000100,Schools’ infrastructure construction and rehabilitation
Completion of wall fencing at CABS,0.0,0.0,0.0,200000000.0,200000000.0,200000000.0,0.0,226,0.44444,0.46242,056901800100,Umaru Ali Shinkafi Polytechnic Sokoto,23020107,CONSTRUCTION / PROVISION OF PUBLIC SCHOOLS,70941,FIRST STAGE OF TERTIARY EDUCATION,33312100,WAMAKKO,05050124000200,Schools’ infrastructure construction and rehabilitation
Rehabilitation of facilities for Accreditation,0.0,35000000.0,35000000.0,100000000.0,300000000.0,300000000.0,0.0,226,0.45261,0.47059,056901800100,Umaru Ali Shinkafi Polytechnic Sokoto,23030106,REHABILITATION / REPAIRS - PUBLIC SCHOOLS,70941,FIRST STAGE OF TERTIARY EDUCATION,33312100,WAMAKKO,05050124000300,Schools’ infrastructure construction and rehabilitation
Conduct of annual convocation ceremony,0.0,40000000.0,29000000.0,0.0,100000000.0,100000000.0,0.0,226,0.46078,0.47876,056901800100,Umaru Ali Shinkafi Polytechnic Sokoto,23050104,ANNIVERSARIES/CELEBRATIONS,70941,FIRST STAGE OF TERTIARY EDUCATION,33312100,WAMAKKO,05010326000800,Education sector coordination mechanisms
Procurement of 3 no 500KVA Transformers for Student Hostels and Classes,0.0,0.0,0.0,300000000.0,300000000.0,300000000.0,0.0,226,0.46895,0.48693,056901800100,Umaru Ali Shinkafi Polytechnic Sokoto,23010119,PURCHASE OF POWER GENERATING SET,70435,ELECTRICITY,33312100,WAMAKKO,05050126006900,Schools’ infrastructure construction and rehabilitation
Renovation of old Admin Block at main campus,0.0,25000000.0,0.0,50000000.0,150000000.0,150000000.0,0.0,226,0.47712,0.4951,056901800100,Umaru Ali Shinkafi Polytechnic Sokoto,23030121,REHABILITATION / REPAIRS OF OFFICE BUILDINGS,70941,FIRST STAGE OF TERTIARY EDUCATION,33312100,WAMAKKO,05050124000600,Schools’ infrastructure construction and rehabilitation
Preparation for annual poly games for both staff and student,0.0,20000000.0,17199050.0,80000000.0,80000000.0,80000000.0,0.0,226,0.48611,0.50408,056901800100,Umaru Ali Shinkafi Polytechnic Sokoto,23050104,ANNIVERSARIES/CELEBRATIONS,70941,FIRST STAGE OF TERTIARY EDUCATION,33312100,WAMAKKO,05010224000700,Human and institutional capacity performance management
ND/HND upgrade inspection by the (NBTE),0.0,30000000.0,30000000.0,150000000.0,0.0,0.0,0.0,226,0.49428,0.51225,056901800100,Umaru Ali Shinkafi Polytechnic Sokoto,23050102,COMPUTER SOFTWARE ACQUISITION,70941,FIRST STAGE OF TERTIARY EDUCATION,33312100,WAMAKKO,05010326000900,Education sector coordination mechanisms
Enviromental beautification and tree maintenance,0.0,20000000.0,20000000.0,60000000.0,60000000.0,60000000.0,0.0,226,0.50245,0.52042,056901800100,Umaru Ali Shinkafi Polytechnic Sokoto,23040101,TREE PLANTING,70941,FIRST STAGE OF TERTIARY EDUCATION,33312100,WAMAKKO,05010326001000,Education sector coordination mechanisms
Constrution of 500 seater capacity Auditorium Hall,0.0,284057279.76,284057278.76,0.0,0.0,0.0,0.0,226,0.51062,0.52859,056901800100,Umaru Ali Shinkafi Polytechnic Sokoto,23020101,CONSTRUCTION / PROVISION OF OFFICE BUILDINGS,70941,FIRST STAGE OF TERTIARY EDUCATION,33312100,WAMAKKO,05050124001000,Schools’ infrastructure construction and rehabilitation
